input,actual_output,expected_output,context,source_file
How do I access the View Course Stream to see new Announcements and Discussions in a course?,,"- Step 1: Open Global Navigation > Courses, then click the name of the course you want.
- Step 2: In the course Home Page sidebar, click View Course Stream to open the Course Activity Stream. Note: If your Course Home Page is already set to view the course stream, this link won’t appear because you’re already there.
- Step 3: Read the stream for new Announcements and Discussions. New items show a blue dot; each item has an icon indicating its type (Announcement, Discussion, Conversation, etc.).
- Step 4: To see details, hover over a notification and click Show More; to collapse, click Show Less.
- Step 5: To open a specific item, click its link in the stream. You can also remove a notification by clicking the remove icon.","Document Title: How do I use the Course Activity Stream as a student

How do I use the Course Activity Stream as a student? The Course Activity Stream shows you important recent activities from a single course including announcements, discussions, assignments, and conversations. This stream is similar to the Global Activity Stream in the Dashboard when you first log in to Canvas. The following activities will cause notifications to appear in the Course Activity Stream: New Announcements Replies to Announcements New Discussions New Discussion Posts New Assignments Assignments, Quizzes, or Discussions Changed from Ungraded to Graded Due Date Changes to Assignments, Quizzes, and Discussions New Graded Assignments New Peer Review Assignments New Conversation Messages Notes : Notifications in the Course Activity Stream will not appear for activity in Files, Collaborations, Grades, Pages, or Conferences; ungraded quizzes and surveys; or edits to Discussions. Edits to Quizzes and Assignments will only appear in the Course Activity Stream when the Notify users that this content has changed button has been selected. If your Course Home Page is already set to view the course stream, the View Course Stream link does not appear in the course sidebar.  Open Course In Global Navigation, click the Courses link , then click the name of the course . Open Course Activity In the Home Page sidebar, click the View Course Stream button. Note : If your Course Home Page is already set to view the course stream, the View Course Stream link does not appear in the course sidebar. View Course Activity The Course Activity Stream contains recent notifications in the course, including announcements, discussions, assignments, and conversations. This activity stream helps you see all recent activity in your course and easily ask questions and post to discussion forums. Unlike course cards on the Dashboard, the activity stream does not mimic visibility of Course Navigation links. You can manage recent activity in a course the same way you can on the Dashboard. Activities are indicated by activity type and display an icon  for the activity. New activity in your account is indicated by a blue dot . Discussions and Announcements indicate new activity items published in a course, and Conversations indicate a new message received from a user in a course. Recent Activity items remain for four weeks. Note: To receive notifications for Discussions, you must actively post in the discussions at least once every two weeks. If you stop participating in a discussion after two weeks, Canvas will no longer display discussion notifications. Expand and Collapse Notifications You can view the details of each activity by hovering in the notification area and clicking the Show More link . To collapse recent activity, click the Show Less link . Manage Recent Activity You can directly access your recent activities by clicking the activity link . To remove a notification, click the remove icon .",
"How do I drop a self-enrolled Canvas course mid-term, and what are the steps and in-progress rules?",,"1) Verify eligibility: You can drop a self-enrolled course only while it is in progress (between the start date and end date). If you were manually or automatically added (not via URL or join code), you’ll need to ask your instructor or institution to remove you.

2) Open the course: In Global Navigation, click Courses, then click the name of the self-enrolled course.

3) Initiate drop: In the course sidebar, click Drop this Course.

4) Confirm drop: Click Drop this Course to confirm your unenrollment. You will no longer see the course roster, communicate with course participants, or receive course events/notifications.

5) Troubleshooting: If you cannot drop because the course is not in progress or you were not enrolled via URL/join code, contact your instructor or institution to request removal.","Document Title: How do I drop a self enrolled Canvas course

How do I drop a self-enrolled Canvas course? If you decide you want to drop a course you self-enrolled in using Canvas, follow these steps. Note: You can only drop a self-enrolled Canvas course while it is in progress (between the course participation dates). Also, if you did not enroll in the course using the given URL or join code, meaning you were manually or automatically added to the course, you will have to ask your instructor or institution to be removed from the course.  Open Course In Global Navigation, click the Courses link , then click the name of the course . Drop this Course In the sidebar, click the Drop this Course button. Note: You can only drop a self-enrolled Canvas course while it is in progress (between the course start date and end date). Also, if you did not enroll in the course using the given URL or join code, meaning you were manually or automatically added to the course, you will have to ask your instructor or institution to be removed from the course. Confirm Un-enrollment Click the Drop this Course button to un-enroll from the course. You will no longer be able to see the course roster, communicate with people in the course, and see course events or notifications.",
How to open Canvas Syllabus as student and see assignments + calendar events?,,"1) Open your course in Canvas and go to Course Navigation, then click Syllabus.  
2) In the Syllabus, check the Course Summary to see assignments (icon) and calendar events (icon) automatically populated from the course. Past due items are grey; undated items are listed alphabetically.  
3) To view details, click the title of any assignment or event.  
4) Time display: if you set a time zone in your User Settings, dates show in your local time; hover over a time to see the exact date and time.  
5) Use the Syllabus Sidebar: it includes a mini calendar. Dates with an assignment due or event have a gray background. Click a calendar date to view the associated item in the Syllabus table.  
6) If your course has weighted assignment groups, the sidebar may show their percentage. If you don’t see totals, the instructor has restricted this feature.  
7) Note: If the Syllabus is set as the course home page, you may see additional features in the sidebar.","Document Title: How do I use the Syllabus as a student

How do I use the Syllabus as a student? The Syllabus helps your instructor communicate course expectations and information. The Syllabus is automatically populated by assignments and calendar events in the course. Your instructor has the option to set the Syllabus to be the home page for your course as well.  Open Syllabus In Course Navigation, click the Syllabus link. View Syllabus The syllabus includes the syllabus description , the syllabus table , and the sidebar . View Syllabus Description The syllabus description may contain the course description, a brief introduction, class guidelines, weekly reminders, and other important information from your instructor. View Course Summary The Course Summary is automatically generated for the course and contains a list of assignments and calendar events. Assignments are indicated by the Assignments icon , and events are indicated by the Calendar icon . Non-graded items with a to-do date show the to-do date in the syllabus . Click the title to view the details of the assignment or event. Any assignments or events that are past the due date are highlighted in gray. Undated items  are listed in alphabetical order. View Time Zones If you have set a specific time zone in your User Settings, all course dates and times will display in your local time, but if you hover over the time, you can also see the course date and time. View Sidebar The sidebar section displays information about course events and grading. If your Syllabus is also set as your course home page, the sidebar may also include additional features. The Syllabus sidebar includes a mini calendar . Any date that includes an event or assignment due date are shown with a gray background. To view an associated assignment or event in the Syllabus table, click the calendar date. If your course includes weighted assignment groups, the sidebar may also shows the percentages of each group . Note: If you cannot view assignment group totals, your instructor has restricted this feature.",
"Why is Course Analytics hidden in Canvas LMS? Is it disabled by the institution, the instructor, or my permissions?",,"Step 1. Check if Course Analytics is visible in your course
- In Canvas, go to Global Navigation > Courses > [your course].
- Look for a Course Analytics link in Course Navigation or a Course Analytics button on the Course Home page.
- If you don’t see it, proceed to Step 2.

Step 2. Identify the likely blocker
- The feature may not be enabled by your institution.
- Or your instructor may not have enabled Course Analytics for this course.
- Or you may lack the needed course permissions for analytics.

Step 3. Confirm with the right people
- Ask your instructor to confirm whether Course Analytics is enabled for the course and that your student access is permitted.
- If they confirm it's enabled, contact your institution’s Canvas administrator or support to verify system/course-level enablement and permissions.

Step 4. Verify your access and course setup
- Ensure you are logged into the correct course and that you are enrolled as a student with the appropriate permissions.

Step 5. If access is granted, know how to use it
- Open Course Analytics (Course Navigation or Course Home) and view the available analytics (Course Grade, Weekly Online Activity, Communication).
- Note that data refreshes every 24 hours; check the last updated time to ensure data is current.

Step 6. If it remains hidden
- Try refreshing, logging out/in, or accessing from a different browser.
- Provide your instructor or support with the course name, your account details, and a screenshot to help diagnose.","Document Title: How do I view Course Analytics in a course as a student

How do I view Course Analytics in a course as a student? As a student, you can view Course Analytics in a course. Available analytics include course grade, weekly online activity, and communication. By default, the analytics page displays an interactive chart graph of all data. However, you can view data within a table at any time. Notes: If you cannot view an option to access Course Analytics, your institution may not have enabled this feature. Data is refreshed in Course Analytics every 24 hours. Please confirm the time data was last updated in the course, as content may be outdated compared to recent  activity and submissions.  Open Course In Global Navigation, click the Courses link , then click the name of the course . Open Course Analytics To open Course Analytics, click the Course Analytics link in Course Navigation  or the Course Analytics button in the Course Home page . Note : If you cannot view an option to access Course Analytics, your instructor may not have enabled this feature or you may not have the necessary course role permissions. View Course Grade Graph By default, student analytics opens to the Course Grade tab . The Course Grade  graph shows your submission status and grade for all the assignments in the course. Your current course grade is shown above the chart graph . The x-axis displays an icon to indicate if the activity is an assignment, quiz, or discussion. The y-axis indicates the grade percentage. A solid dot  represents a graded assignment and an empty dot  represents an ungraded assignment. To download a CSV of your course grade data, click the Download button . View Assignment Details To view more details about an assignment, click the dot . Each assignment will display the title , due date , grade , and status label . The status label may display as on time, missing, late, or excused. View Course Grade Data Table To view course grade data in a table, click the Options icon  and select the Data Table option . The data table shows the assignment name , due date , status , and grade . The table can be sorted by clicking any column heading. View Weekly Online Activity Graph To view your weekly online activity, click the Weekly Online Activity tab . Your total page views and total participations are displayed above the chart . Data is displayed as a chart with two rows: average page views  and average participations . The following actions will generate participations: Announcements: posts a new comment to an announcement Assignments: submits an assignment Collaborations: loads a collaboration to view/edit a document Conferences: joins a web conference Discussions: posts a new comment to a discussion Pages: creates a page Quizzes: submits a quiz Quizzes: starts taking a quiz Data for the week that is currently in progress is indicated by a dotted line . To download a CSV of the weekly online activity data, click the Download button . View Weekly Online Activity Data Table To view weekly online activity in a table, click the Options icon  and select the Data Table option . The data table shows the week start date , number of page views , and number of participations . The table can be sorted by clicking any column heading. View Communication Graph To view an overview of messages, click the Communication tab . The Communication graph shows the number of conversations that have taken place between you and your instructor(s) in the Canvas Inbox. The total number of messages sent by you and your instructors is displayed above the graph . The x-axis shows the date range and the y-axis shows the number of messages sent. Student and instructor messages are differentiated by different colors. To improve contrast in the chart, click the Chart Options icon  and select the Display Shapes option . To view the details of the bar graph, hover over the specific bar you want to view. You can view the total number of messages sent for the date range. Click the bar to view the specific days and number of messages that were sent in the range. To download a CSV of the communication data, click the Download button . View Communication Data Table To view communication activity in a table, click the Options icon  and|Document Title: How do I view Course Analytics in a course as a student

were sent in the range. To download a CSV of the communication data, click the Download button . View Communication Data Table To view communication activity in a table, click the Options icon  and select the Data Table option . The data table shows the week start date , number of student messages , and number of instructor messages . The table can be sorted by clicking any column heading. To view details of a specific date range, click the date .",
"In Canvas, does Immersive Reader open from Course Home Page or Syllabus?",,"Step 1: Open the course in Canvas and go to the Course Home Page or Syllabus (Immersive Reader also works on individual pages or assignments).  
Step 2: Click the Immersive Reader button on the page you’re viewing.  
Step 3: Use the Immersive Reader toolbar to adjust text, grammar, and reading preferences.  
Step 4: To enlarge the view, click Full Screen. To hear the text, click Play and use Voice Settings as needed.  
Step 5: When finished, click Exit to return to Canvas.  

Troubleshooting:
- If Immersive Reader doesn’t appear, check your User Settings, but be aware that a account-wide setting can override your personal setting.
- Immersive Reader will not read External Tool content or appear on External Tool assignments.","Document Title: How do I use the Microsoft Immersive Reader in a course as a

How do I use the Microsoft Immersive Reader in a course as a student? The Microsoft Immersive Reader enhances your reading experience by improving accessibility and boosting reading comprehension. You can use the Microsoft Immersive Reader when viewing the Course Home Page or Syllabus or when viewing an individual assignment or page. For more information about the reader, visit the Microsoft Immersive Reader website. Notes: You can enable Microsoft Immersive for your user account in your User Settings . However, if the feature is on for the entire account, the account preference overrides the user preference, and the user setting has no effect. External Tool content embedded in the Rich Content Editor cannot be read by the Immersive Reader. The Immersive Reader will not appear on external tool assignments.  Open Immersive Reader When viewing pages , assignments , course home pages , and the syllabus in a course, click the Immersive Reader button. View Immersive Reader The Microsoft Immersive Reader displays a variety of tools and options to enhance your reading experience. You can manage text, grammar, and reading preferences using the toolbar . To expand the reader display, click the Full Screen button . To hear the page text read aloud, click the Play button . To adjust audio settings, click the Voice Settings button . To close the reader and return to Canvas, click the Exit button . Note: For more details about the Microsoft Immersive Reader functionality, visit the Microsoft Immersive Reader website .",
How can I open Canvas Elem Homeroom from Global Nav to see today's due assignments?,,"- Step 1: Ensure you have an active Canvas for Elementary enrollment. If not, you’ll see the Classic View Dashboard instead of Homeroom.

- Step 2: In Global Navigation (your main menu), click the Homeroom link.

- Step 3: Stay on the Homeroom tab. Look for assignments due today in the subject details for each posted subject.

- Step 4: To see more details, click the name of a subject.

- Step 5: For a city-wide view of all due dates, switch to the Schedule tab. It lists items by date, showing subject, item name, points (if any), and due date. Use:
  - Show completed item to view submitted items
  - Show missing items to see overdue tasks

- Step 6: If some subjects don’t appear in Homeroom, remember the Canvas for Elementary setup doesn’t display favorited subjects in Homeroom by default; if you have multiple enrollment types, only favorited subjects from Classic View may display there.

- Quick troubleshoot: refresh the page, and verify you’re viewing the correct subject if you don’t see expected due dates.","Document Title: How do I use my Homeroom as a student in Canvas for Elementary

How do I use my Homeroom as a student in Canvas for Elementary?
This lesson applies to users at institutions that have enabled the Canvas for Elementary user interface.
If you have an active enrollment in a Canvas for Elementary subject, the Homeroom is the first thing you will see when you log into Canvas. The Homeroom helps you see what is happening in all your current subjects.
You can return to your Homeroom at any time by clicking the Homeroom link in Global Navigation.
Notes:
If you do not have an active enrollment in a Canvas for Elementary subject, the
Classic View Dashboard
displays.
The Canvas for Elementary homeroom does not display favorited subjects. However, any subjects  favorited from the Classic View Dashboard are retained and display in the Classic View Dashboard.
Open Homeroom
In Global Navigation, click the
Homeroom
link.
View Homeroom
The Homeroom is your landing page in Canvas.
In the
Homeroom
tab [1], you can
view a homeroom announcement
, if one has been added by your instructor [2].
You can also view your subjects [3] and subject details such as assignments that are due today [4], missing assignments [5], or
subject announcements
[6].
To view more subject details, click the name of the subject [7].
Items that your instructor has marked with an important date display in the sidebar [8].
Note:
By default, your published and unpublished subjects display in the Homeroom tab. However, if you have an additional enrollment type, such as an instructor enrollment type,
you can favorite subjects
. If subjects are favorited, only favorited subjects display in the Homeroom.
View Homeroom Schedule
In the
Schedule
tab [1], you can view various action items for all of your subjects by date.
Each item displays the subject name [2], item name [3], number of points (if points have been assigned) [4], and the due date [5].
Each item also displays an icon to differentiate between different assignment types and other items in the Schedule [6].
When an online assignment is submitted, the item is automatically marked as completed. To view completed assignments, click the
Show completed item
dropdown [7].
To view missing tasks, click the
Show missing items
dropdown [8]
To view item details, click the name of the item [9].
Learn more about your schedule.
View Homeroom Grades
In the
Grades
tab [1], you can view grades for each of your subjects if allowed by your instructor [2].
To view grade details for a subject, click the subject name [3].
Note:
If your instructor has hidden total subject grades, dashes display in place of the total subject grade [4].
View Homeroom Resources
In the
Resources
tab [1], you can view important information your instructor has added to your homeroom [2].
If student applications have been added, you can view them in the Student Applications section [3].
You can also view staff contact information [4] and send a message to your instructor by clicking the
Message
icon [5].
Notes:
If content has not been added to Important Information, the Important Information section does not display.
If student applications have not been added to the homeroom, the Student Applications section does not display.",
How do I view Important Dates in Homeroom for Elementary students in Canvas?,,"1) Open Canvas and go to your Elementary class Homeroom. 
2) In the Homeroom, locate the Important Dates sidebar. 
3) Review the items listed (assignments, discussions, quizzes, and events) that your instructor marked as important; they are organized by due date or event date. 
4) Note each item’s icon (type), the subject name, and the item name. 
5) Click the item name to view more details. 
Optional: If you don’t see Important Dates, ensure your instructor has marked items as important in the Important Dates sidebar.","Document Title: How do I view Important Dates as a student in Canvas for

How do I view Important Dates as a student in Canvas for Elementary?
You can view assignments, discussions, quizzes, and events that your instructor has marked as important in the Important Dates sidebar in the Homeroom.
View Important Dates
In the
Homeroom
[1], you can view assignments, discussions, quizzes, and events that your instrutor has marked as important in the
Important Dates
sidebar [2].
Items in the Important Dates sidebar are organized by the associated due date or event date [3].
Each item displays an icon with the event or assignment type [4] as well as the subject name [5], and item name [6].
To view item details, click the item's name [7].",
How to view Subject Home Page/announcements in Canvas-E; what if Home tab is hidden?,,"Step-by-step guide to view Subject Home Page/announcements in Canvas-E and what to do if the Home tab is hidden:

1) Open the subject
- Global Navigation > Subjects > click the course name.

2) View the Subject Home Page and announcements
- Click the Home tab.
- View announcements added by your instructor (only the most recent announcement displays on the Subject Home page).
- Note: Announcements disappear after two weeks.

3) If the Home tab is missing
- If the Home tab does not display, it has been hidden by your instructor.

4) If Home is hidden, access content via other areas
- Modules tab: view modules that may contain assignments, discussions, quizzes, pages, files, etc.
- Schedule tab: see items for the week, with due dates and item types; use Show completed/Missing to filter.
- Resources tab: view Important Information and any Student Applications if added.
- Groups tab: view active groups and visit group pages if applicable.

5) If you need announcements shown on Home
- Contact your instructor to confirm the Home tab visibility and request that it be unhidden or provide announcements through another channel.","Document Title: How do I navigate my subject as a student in Canvas for

How do I navigate my subject as a student in Canvas for Elementary?
This lesson applies to users at institutions that have enabled the Canvas for Elementary user interface.
If you are enrolled in a Canvas for Elementary subject, the Course Home Page helps you navigate your subject and manage your coursework.
Note:
If you do not have an active enrollment in a Canvas for Elementary subject, the
classic Course view
displays.
Open Subject
In Global Navigation, click the
Subjects
link [1], then click the name of the course [2].
View Subject Home Page
In the
Home
tab [1], you can
view subject announcements,
if added by your instructor [2].
You can also view your subject home page [3].
Notes:
Only the most recent subject announcement displays on the Subject Home page.
Subject announcements are automatically hidden after two weeks.
If the Home tab does not display in your subject, it has been hidden by your instructor.
View Subject Modules
In the
Modules
tab, you can view modules for your subject [1]. Modules can include assignments, discussions, quizzes, pages, files, links, and external tools.
To collapse an individual module, click the module's collapse icon [3].
To collapse all modules, click the
Collapse All
button [3].
To view details for a module item, click the item's title [4].
Note:
If the Modules tab does not display in your subject, it has been hidden by your instructor.
View Subject Schedule
In the
Schedule
tab [1], you can view various action items for your subject this week.
Each item displays the item name [2], number of points (if points have been assigned) [3], and the due date [4].
Each item also displays an icon to differentiate between different assignment types and other items in the Schedule [5].
When an online assignment is submitted, the item is automatically marked as completed. To view completed assignments, click the
Show completed item
dropdown [6].
To view missing tasks, click the
Show missing items
dropdown [7].
To view item details, click the name of the item [8].
Learn more about your schedule.
View Subject Grades
In the
Grades
tab [1], you can view your subject grade if allowed by your instructor [2].
To view assignment group totals, click the
View Assignment Group Totals
dropdown [3].
You can view an assignment's submission status in the
Assignment
column [4].
Graded items display scores in the
Score
column [5].
If your instructor has added feedback to your submission, click the
View Feedback
link [6].
To view grade details for an item, click the item name [7].
Notes:
If your instructor has hidden total subject grades, dashes display in place of the total subject grade.
If the Grades tab does not display in your subject, it has been hidden by your instructor.
View Subject Resources
In the
Resources
tab [1], you can view important information your instructor has added to your subject [2].
If student applications have been added, you can view them in the Student Applications section [3].
Notes:
If content has not been added to Important Information, the Important Information section does not display.
If student applications have not been added to the homeroom, the Student Applications section does not display.
If student applications and important information has not been added to the subject, the Resources tab does not display.
View Subject Groups
If your subject includes at least one active group, the
Groups
tab displays [1].
In the Groups tab, you can view all subject groups.
To search for a group or person, use the
Search
field [2].
To view group users, click the group's
Expand
icon [3].
If you are a member of a group, you can visit your group page. To visit your group page, click the
Visit
link [4].
A
Lock
icon appears for groups in which you are not a member [5].
Note:
If the Groups tab does not display, your subject does not have any active groups.",
How do I unenroll from an active self-enrolled Elementary Canvas course via Global Nav?,,"Step-by-step instructions to unenroll from an active self-enrolled Elementary Canvas course via Global Nav:

1) In Global Navigation, click the Subjects link.
2) Click the active self-enrolled Elementary subject you want to unenroll from. If you don’t see it, click All Subjects to view all and select it.
3) In the subject banner, click Drop this Subject.
4) Confirm by clicking Drop this Subject again to unenroll.
5) You will be unenrolled and will no longer see the subject roster, communicate with people in the subject, or see subject events or notifications.

Notes:
- You can only drop a self-enrolled subject while it is active.
- If you did not self-enroll in the subject, contact your instructor or institution for assistance to be removed.","Document Title: How do I drop a self enrolled Canvas for Elementary subject

How do I drop a self-enrolled Canvas for Elementary subject?
This lesson shows you how to drop a self-enrolled subject using Canvas for Elementary. If your course appears differently than this lesson, follow the guide on
how do I drop a self-enrolled subject
in Classic Canvas.
If needed, you can drop a self-enrolled Canvas for Elementary subject.
Notes:
You can only drop a self-enrolled Canvas for Elementary subject while the subject is within its participation dates.
If you did not self-enroll in the subject, contact your instructor or institution for assistance to be removed from the subject.
Open Subject
In Global Navigation, click the
Subjects
link [1]. Then click the subject name [2].
To view all of your subjects, click the
All Subjects
link [3].
Drop Subject
In the subject banner, click the
Drop this Subject
button.
Notes:
You can only drop a self-enrolled Canvas for Elementary subject while the subject is active.
If you did not self-enroll in the subject, contact your instructor or institution for assistance to be removed from the subject.
Confirm Unenrollment
Click the
Drop this Subject
button to un-enroll from the subject. You will no longer be able to see the subject roster, communicate with people in the subject, and see subject events or notifications.",
How can I access Discussions in Canvas when the Discussions link isn’t visible in Course Nav?,,"1) Check if Discussions is visible in Course Navigation. If yes, click the Discussions link to open the Discussion Index.

2) If Discussions isn’t visible, go to Modules (from the left navigation), find a module that contains a discussion, and click the discussion name to open it.

3) In the Discussion Index, use:
   - Filter: choose All or Unread from the dropdown.
   - Search: type a discussion title, user name, or keyword.
   - Add Discussion: click Add Discussion to start a new one (note: some instructors may disable this).

4) Open a specific discussion by clicking its title. You’ll see the discussion topic, replies, availability/due dates (if applicable), unread status, and subscription status.

5) While viewing a discussion, use the Options menu for actions such as:
   - Mark All as Read
   - Show Rubric (if provided)
   - Switch between inline threading, split-screen, etc.

6) If the discussion shows Not Available Until or Available Until, or is in Closed for Comments, note how these dates affect posting and visibility.

7) If you still can’t access discussions, contact your instructor to confirm whether the Discussions link is intentionally hidden and ask for an alternative access path (e.g., via Modules).","Document Title: How do I view Discussions as a student

How do I view Discussions as a student? The Discussion Index page allows you to view all the discussions within a course as well as participate in course and group discussions. Note: Your instructor may choose to hide the Discussions link in Course Navigation. If the Discussions link is not available, you can still access Discussions through other areas of Canvas.  Open Discussions In Course Navigation, click the Discussions link. Note: If the Discussions link is not available in Course Navigation, you can access course discussions through the Modules page. View Discussions Discussions are organized into three main areas. Discussions : These are current discussions within the course. Discussions are ordered by most recent activity. This section heading only displays if there are discussions within this section. Pinned Discussions : These are discussions that your instructor wants you to pay specific attention to and appear at the top of the Discussions page. This section heading only displays if there are discussions within this section as designated by your instructor. Closed for Comments : These discussions have been manually closed for comments, or the discussion is past the available from/until date. These are discussions that are only available in a read-only state and are ordered by most recent activity. This section section heading displays even if there are no discussions within this section. View Individual Discussion Each discussion displays whether or not it is a graded discussion , the name of the discussion , the date on which the last discussion reply was posted , the due date (if any) , the number of unread/total posts in the discussion , and whether or not you are subscribed to the discussion . You can also view availability dates for individual discussions . An unread icon next to a discussion indicates an unread discussion . The number of unread/total posts will not appear for group discussions and discussions that have no discussion replies . There will also be a peer review icon if a graded discussion has been assigned peer reviews . View Availability Dates The first dates you may see are the availability dates. Your instructor may use availability dates to restrict discussion replies to a specified date range. The availability dates are the range of time that the discussion is accessible to you. Availability dates also appear on the Assignments page for all discussions with assigned availability dates. If the discussion does not have a date listed, the discussion is open; you can reply to the discussion at any time during your course . If the discussion says Not Available Until [date], the discussion is locked until the specified date . If the discussion says Available until [date], you can reply to the discussion until the specified date . If the discussion is in the Closed for Comments section, the discussion cannot accept submissions . Discussions in this section may show a ""Was locked at [date]"" to indicate when the discussion was closed for comments . Note: If the listed date is set to 12 a.m. the last day for the assignment to be submitted is the full day before the listed date. For instance, if an assignment is Available until December 15, you can access the assignment until December 14 at 11:59 p.m. View Due Dates The second set of dates are the due dates for each respective discussion . However, due dates only apply to graded discussions . Any replies to discussions after the due date are marked as late; some instructors may deduct points for late replies. You can still reply to late discussion before the Available until date. Due dates also include a time . If your instructor does not set a due time, the listed date displays the course's default due time. Note: The Due date may be before or on the Available date. Filter Discussions There are a few ways to filter Discussions: View All or only unread discussions by selecting an option from the drop-down menu. Search for a discussion by typing a discussion title, a user name, or a keyword in the Search field. Start a new discussion by clicking the Add Discussion button. ( Note: Some instructors may choose to disable this option.) Change the|Document Title: How do I view Discussions as a student

discussion title, a user name, or a keyword in the Search field. Start a new discussion by clicking the Add Discussion button. ( Note: Some instructors may choose to disable this option.) Change the discussions settings to manually mark posts as read by clicking the Settings icon. Open Discussion Click the name of a discussion. View Discussion A discussion includes three sections: the discussion toolbar , discussion topic , and discussion replies . You have several options to view and sort discussions . View Anonymous Discussion Message If the discussion is an anonymous discussion, a message displays noting that your name and profile picture will be hidden from other course members. View Discussion Topic The discussion topic section includes important information about the discussion, including the discussion title  and description . If enabled by your institution, you can view multiple due dates and checkpoints for a graded discussion , the name of the author , user role labels for TAs and Teacher (Instructor) roles , the date and time the discussion was published , the number of points possible (if any) , and number of replies . Note: If the discussion is an anonymous discussion, student names and profile pictures do not display. Posts created by the instructor display the instructor's name and profile picture. View Discussion Options To view the Options menu for a discussion, click the Options icon . To mark all replies as read, click the Mark All as Read link . To view the discussion rubric, click the Show Rubric link . Note: If the Show Rubric link does not display in the Options menu, a rubric has not been added to the discussion by your instructor. View Discussion Replies Discussion replies display below the discussion topic. You can view and sort discussion replies or report discussion replies . View Inline Discussion Thread Replies When viewing inline discussion thread replies, you can collapse and expand the discussion threads by clicking the Expand Threads and Collapse Threads buttons. View Split Screen Discussion Thread Replies To view threaded replies in a split screen sidebar , click the View Split Screen button. View Discussion with Required Replies If you are unable to view responses from other students, you may be required to make a reply before you can view them. Once you reply to the discussion, any other replies will be visible. View Group Discussion If a discussion is a group discussion, you will be directed to Discussions in your group. View Rich Content Editor When creating or editing discussion topics or replies, you will enter and edit your content using the Rich Content Editor . The Rich Content Editor allows you to format text, link text to course or external content, insert media, and attach files.",
View graded discussion rubric in Canvas (Disc>Open>Show Rubric)?,,"1) In Course Navigation, click Discussions.  
2) Open the graded discussion by clicking the discussion title.  
3) Show the rubric: Click the Options icon (three dots) and select Show Rubric.  
   - Note: If Show Rubric does not display, there is no rubric for this discussion.  
4) View Rubric Details: Review the criteria, ratings with point values, criterion total points, and total points possible.  
5) View Rubric Outcome (if available): If included, an outcome flag and threshold will show; your instructor may allow you to view outcomes in your course grades.  
6) Tip: Use the rubric before submitting your discussion to evaluate your own work against the criteria.","Document Title: How do I view the rubric for my graded discussion

How do I view the rubric for my graded discussion? Your instructor may include a rubric as part of a graded discussion. The rubric is a set of criteria that your instructor can use to grade your discussion. Before submitting your discussion, you can use the rubric to evaluate your own work and make sure your discussion fulfills your instructor's requirements. Note: Not all graded discussions include a rubric.  Open Discussions In Course Navigation, click the Discussions link. Open Discussion Click the name of the graded discussion. Show Rubric Click the Options icon  and select the Show Rubric link . Note: If the Show Rubric link does not display, there is no rubric for your discussion. View Rubric Details View the graded discussion rubric. The rubric includes criteria , ratings with point values , criterion total points , and total points possible . A rubric criterion may include up to five different ratings and individual point values. View Rubric Outcome The rubric may also include an outcome associated with the course. Outcomes are identified by a small flag and are used to assess learning mastery in a course. The outcome also shows the threshold for the outcome, or the number of points you must achieve to meet expectations. Your instructor may allow you to view outcomes results in your course grades .",
How can I subscribe to a Canvas Discussion podcast in Apple Podcasts via a feed URL?,,"1) In Canvas, navigate to Course Navigation > Discussions.  
2) Open the discussion by clicking its title.  
3) Copy the podcast feed URL: Right-click the Topic: Podcast Feed button and choose Copy Link Address (Copy Link Location may appear in some browsers).  
4) Open Apple Podcasts (or your chosen podcast app).  
5) Subscribe by URL: In Apple Podcasts, go to File > Add a Show by URL...  
6) Paste the copied URL into the text box and click Follow.  
7) The discussion will appear in your podcast app as a subscribed show.  

Note: Updates only appear if you use the Record/Upload Media Comment tool; text-only posts are not included in the feed.","Document Title: How do I subscribe to a discussion podcast as a student

How do I subscribe to a discussion podcast as a student? If your instructor has enabled a podcast in a discussion, you can subscribe to receive the feed in a podcast application. This lesson explains how to add a podcast to Apple Podcast. Note: The Record/Upload Media Comment tool in the Rich Content Editor must be used for updates to be added to the podcast feed. Text-only discussion posts are not included in the feed.  Open Discussions In Course Navigation, click the Discussion link. Open Discussion Click the title of the discussion. Open RSS Feed Right click the Topic: Podcast Feed button. Copy URL Link Click the Copy Link Address link. Note: Depending on your browser, the option may read Copy Link Location . Open Podcast Application Open Apple Podcasts or other podcast application. Subscribe to Podcast Open the File options and click the Add a Show by URL... link. Paste URL To subscribe to the podcast, paste the URL into the text box and click the Follow button View Podcast The discussion displays in your podcast application.",
